film_title,release_year,imdb_rating,vote_count,duration_min,genre,is_top_100
Bhoothnath,2008,6.3,7053.0,150.0,Comedy|Drama|Family,0
Bhoothnath Returns,2014,6.7,4480.0,155.0,Comedy|Drama|Fantasy,0
Bhopal: A Prayer for Rain,2014,7.2,1860.0,96.0,Drama,0
Bhram,2008,4.1,103.0,130.0,Drama|Mystery|Romance,0
Big Brother (2007 film),2007,3.8,710.0,128.0,Action|Crime|Drama,0
Billu,2009,6.1,9507.0,137.0,Comedy|Drama,0
Bin Bulaye Baraati,2011,3.9,225.0,133.0,Action|Comedy|Crime,0
Bioscopewala,2018,7.7,718.0,91.0,Drama,0
Birdemic: Shock and Terror,2010,1.7,25000.0,105.0,Horror|Thriller,0
Bittoo Boss,2012,4.1,339.0,116.0,Romance,0
Black (2005 film),2005,8.2,31658.0,122.0,Drama,0
Black Christmas,2019,3.5,18000.0,92.0,Horror|Mystery|Thriller,0
Black Friday (2007 film),2004,8.5,16761.0,143.0,Action|Crime|Drama,0
Blackmail (2005 film),2005,4.1,567.0,126.0,Action|Drama|Thriller,0
Blood Brothers (2007 Indian film),2007,8.2,187.0,13.0,Drama|Short|Thriller,0
Blood Money (2012 film),2012,5.1,893.0,109.0,Action|Drama|Thriller,0
BloodRayne,2005,3.0,37000.0,95.0,Action|Fantasy|Horror,0
Bloody Isshq,2013,7.8,29.0,130.0,Drama|Romance,0
Blue (2009 film),2009,3.7,4203.0,119.0,Action|Adventure|Thriller,0
Bluffmaster!,2005,6.6,5321.0,137.0,Comedy|Crime|Drama,0
Bobby Jasoos,2014,5.5,1922.0,121.0,Comedy|Drama|Thriller,0
Bodyguard (2011 Hindi film),2011,4.6,20745.0,130.0,Action|Comedy|Romance,0
Bol Bachchan,2012,5.5,7533.0,155.0,Action|Comedy,0
Bollywood Diaries,2016,6.0,233.0,123.0,Drama,0
Bollywood Queen,2002,4.6,434.0,89.0,Musical|Romance,0
Bomb the System,2002,6.6,967.0,91.0,Action|Drama,0
Bombairiya,2019,4.3,295.0,104.0,Comedy|Crime|Drama,0
Bombay Talkies (film),2013,6.7,4576.0,127.0,Drama,0
Bombay Velvet,2015,5.7,5116.0,149.0,Action|Crime|Drama,0
Bombay to Bangkok,2008,4.6,397.0,120.0,Comedy|Crime|Romance,0
Bombay to Goa (2007 film),2007,4.5,309.0,138.0,Action|Adventure|Comedy,0
Boom (film),2003,2.3,1277.0,100.0,Crime|Thriller,0
Border (1997 film),2003,5.1,2284.0,255.0,Drama|History|War,0
Boss (2013 Hindi film),2013,5.1,9674.0,143.0,Action,0
Brahman Naman,2016,5.6,1575.0,95.0,Comedy,0
Bratz,2007,3.1,25000.0,110.0,Comedy|Family|Music,0
Braveheart,1995,8.3,1213.5,130.0,Biography|Drama|History,1
